상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
영자s곱창,서울특별시 광진구 면목로 172 (중곡동) 1층,음식,한식,곱창 전골/구이,127.082832417071,37.5685026763955,서울특별시 광진구 면목로 172
썬더치킨,서울특별시 광진구 군자로 127 (군자동) 1층,음식,기타 간이,치킨,127.073597973058,37.5536623822352,서울특별시 광진구 군자로 127
러슬,서울특별시 광진구 자양로37길 63 (구의동) 3층,음식,비알코올 ,카페,127.085543420228,37.5486014905947,서울특별시 광진구 자양로37 길 63
설레임,서울특별시 광진구 아차산로31길 30 (화양동) 1층,음식,한식,돼지고기 구이/찜,127.069937212035,37.5422353126568,서울특별시 광진구 아차산로31 길 30
오사이초밥,서울특별시 광진구 군자로 14 (화양동) 1층,음식,일식,일식 회/초밥,127.07150266554,37.5446624499293,서울특별시 광진구 군자로 14
인디고플레이스,서울특별시 광진구 능동로 154 (화양동),음식,비알코올 ,카페,127.073088363325,37.5445487607629,서울특별시 광진구 능동로 154
남수푸드,서울특별시 광진구 광나루로37길 8 (구의동) 1층,음식,한식,횟집,127.087654640128,37.5453019511433,서울특별시 광진구 광나루로37 길 8
닛코리,서울특별시 광진구 아차산로 200 (자양동) 3층,음식,일식,일식 회/초밥,127.065651952175,37.5410481373377,서울특별시 광진구 아차산로 200
요거트월드,서울특별시 광진구 자양번영로13길 3 (자양동) 1층,음식,기타 간이,아이스크림/빙수,127.076707273872,37.5373957277411,서울특별시 광진구 자양번영로13 길 3
열린밥상,서울특별시 광진구 자양로 247 (구의동) 1층,음식,한식,백반/한정식,127.088824812242,37.5486448789535,서울특별시 광진구 자양로 247
다모아호프,서울특별시 광진구 뚝섬로 476 (자양동) 1층,음식,주점,요리 주점,127.063163187827,37.5364690980475,서울특별시 광진구 뚝섬로 476
로프커피,서울특별시 광진구 동일로 304 (군자동) 1층,음식,비알코올 ,카페,127.073461978063,37.5582476577619,서울특별시 광진구 동일로 304
레스티오도서관점,서울특별시 광진구 능동로 120 (화양동) 3층,음식,비알코올 ,카페,127.074695272526,37.5390559369817,서울특별시 광진구 능동로 120
용정성일초두부,서울특별시 광진구 아차산로26길 42 (자양동) 1층,음식,한식,백반/한정식,127.065319754495,37.5395587734861,서울특별시 광진구 아차산로26 길 42
에스씨푸드,서울특별시 광진구 능동로13길 69 (화양동) 2층,음식,한식,백반/한정식,127.069046360273,37.5447151940321,서울특별시 광진구 능동로13 길 69
팔자좀피자,서울특별시 광진구 뚝섬로 509-1 (자양동) 1층,음식,기타 간이,피자,127.067007388537,37.5357967117582,서울특별시 광진구 뚝섬로 509 1
미각의발견,서울특별시 광진구 자양로50길 37 (구의동) 1층,음식,한식,돼지고기 구이/찜,127.094302175452,37.5523903423431,서울특별시 광진구 자양로50 길 37
비바체,서울특별시 광진구 광나루로52길 11 (구의동) 1층,음식,비알코올 ,카페,127.094789510288,37.5411038928542,서울특별시 광진구 광나루로52 길 11
신사동,서울특별시 광진구 답십리로 372 (중곡동) 1층,음식,주점,요리 주점,127.081811727936,37.5714231485861,서울특별시 광진구 답십리로 372
산과바다,서울특별시 광진구 자양로 322 (구의동) 1층,음식,한식,횟집,127.094034671706,37.5539200774921,서울특별시 광진구 자양로 322
온도계,서울특별시 광진구 자양로43길 60 (중곡동) 1층,음식,한식,돼지고기 구이/찜,127.090092915123,37.5532500203011,서울특별시 광진구 자양로43 길 60
장수카페,서울특별시 광진구 군자로 140 (군자동) 1층,음식,비알코올 ,카페,127.074995443774,37.5541418846868,서울특별시 광진구 군자로 140
풍년상회,서울특별시 광진구 아차산로53길 53 (구의동) 1층,음식,한식,돼지고기 구이/찜,127.085608206768,37.5395914702435,서울특별시 광진구 아차산로53 길 53
브라운파스타,서울특별시 광진구 동일로 158 (화양동) 2층,음식,서양식,파스타/스테이크,127.066571966079,37.5462184357128,서울특별시 광진구 동일로 158
맘스터치군자역점,서울특별시 광진구 능동로 300 (능동) 1층,음식,기타 간이,버거,127.079426297424,37.5564471604895,서울특별시 광진구 능동로 300
동대문엽기떡볶이,서울특별시 광진구 자양로 109 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.083077712509,37.5374003111359,서울특별시 광진구 자양로 109
에그허그,서울특별시 광진구 천호대로143길 8-5 (광장동) 1층,음식,비알코올 ,카페,127.10326249448,37.5460432392924,서울특별시 광진구 천호대로143 길 8 5
지금이밤,서울특별시 광진구 능동로 27 (자양동) 2층,음식,주점,요리 주점,127.067517893737,37.533872491831,서울특별시 광진구 능동로 27
동방생고기,서울특별시 광진구 아차산로31길 28 (화양동) 2층,음식,한식,돼지고기 구이/찜,127.06987044204,37.5421446815925,서울특별시 광진구 아차산로31 길 28
온더코너,서울특별시 광진구 아차산로21길 44 (화양동) 1층,음식,비알코올 ,카페,127.065911850635,37.5437983995317,서울특별시 광진구 아차산로21 길 44
