상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
팔자좀피자,서울특별시 광진구 뚝섬로 509-1 (자양동) 1층,음식,기타 간이,피자,127.067007388537,37.5357967117582,서울특별시 광진구 뚝섬로 509 1
래빗홀버거컴퍼니,서울특별시 광진구 광나루로 424 (화양동),음식,기타 간이,버거,127.076510194155,37.5460352750599,서울특별시 광진구 광나루로 424
한가람,서울특별시 광진구 능동로 92 (자양동),음식,한식,백반/한정식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92
열정국밥,서울특별시 광진구 아차산로55길 20 (구의동) 2층,음식,한식,국/탕/찌개류,127.086620481058,37.5382387142098,서울특별시 광진구 아차산로55 길 20
뚜레쥬르,서울특별시 광진구 광나루로56길 29 (구의동) 1층,음식,기타 간이,빵/도넛,127.096514325742,37.5369542342159,서울특별시 광진구 광나루로56 길 29
던킨도너츠,서울특별시 광진구 아차산로 502 (광장동),음식,기타 간이,빵/도넛,127.097219475403,37.5413477586036,서울특별시 광진구 아차산로 502
베스킨라빈스광장현대점,서울특별시 광진구 아차산로 494 (광장동),음식,기타 간이,아이스크림/빙수,127.096667440005,37.5411453051848,서울특별시 광진구 아차산로 494
배스킨라빈스건대동문회관점,서울특별시 광진구 아차산로 288 (자양동) 1층,음식,기타 간이,아이스크림/빙수,127.074895965984,37.5383817201642,서울특별시 광진구 아차산로 288
고술행,서울특별시 광진구 긴고랑로22길 4 (중곡동) 1층,음식,한식,백반/한정식,127.084216635443,37.560845494921,서울특별시 광진구 긴고랑로22 길 4
옥루몽어린이대공원점,서울특별시 광진구 능동로 183 (화양동) 1층,음식,비알코올 ,카페,127.07364631978,37.5470130089634,서울특별시 광진구 능동로 183
투썸플레이스,서울특별시 광진구 천호대로 642 (능동) 2층,음식,비알코올 ,카페,127.088145580512,37.5533070814818,서울특별시 광진구 천호대로 642
뚜레쥬르,서울특별시 광진구 아차산로 370 (자양동),음식,기타 간이,빵/도넛,127.084039896818,37.5364436513305,서울특별시 광진구 아차산로 370
투썸플레이스,서울특별시 광진구 아차산로 537-17 (광장동) 1층,음식,비알코올 ,카페,127.099644411941,37.5429521266911,서울특별시 광진구 아차산로 537 17
베스킨라빈스군자점,서울특별시 광진구 천호대로 548 (군자동),음식,기타 간이,아이스크림/빙수,127.079012895356,37.5569305034381,서울특별시 광진구 천호대로 548
투썸플레이스,서울특별시 광진구 능동로 90 (자양동) 1층,음식,비알코올 ,카페,127.070902015585,37.53835036397,서울특별시 광진구 능동로 90
할리스,서울특별시 광진구 아차산로 235 (화양동) 1층,음식,비알코올 ,카페,127.069516198297,37.5406010925762,서울특별시 광진구 아차산로 235
크리스피크림건대스타시티점,서울특별시 광진구 아차산로 262 (자양동) 1층,음식,기타 간이,피자,127.072944230258,37.5369968145663,서울특별시 광진구 아차산로 262
버거킹건대입구역점,서울특별시 광진구 아차산로 229 (화양동) 1층,음식,기타 간이,버거,127.068993148522,37.5408042117968,서울특별시 광진구 아차산로 229
빕스어린이대공원점,서울특별시 광진구 광나루로 410 (화양동) 2층,음식,서양식,패밀리레스토랑,127.074998556359,37.546564073743,서울특별시 광진구 광나루로 410
파파존스피자 건대점,서울특별시 광진구 아차산로 289 (자양동) 1층,음식,기타 간이,버거,127.075252905824,37.5387989999769,서울특별시 광진구 아차산로 289
슬로우캘리 구의역점,서울특별시 광진구 아차산로 375 (구의동) 1층,음식,기타 간이,토스트/샌드위치/샐러드,127.08436073353,37.5370408345709,서울특별시 광진구 아차산로 375
배스킨라빈스광나루역점,서울특별시 광진구 아차산로 608 (광장동) 1층,음식,기타 간이,아이스크림/빙수,127.106510409822,37.5469869344837,서울특별시 광진구 아차산로 608
뚜레쥬르 자양점,서울특별시 광진구 능동로 50 (자양동) 1층,음식,기타 간이,빵/도넛,127.069158822263,37.5356695214728,서울특별시 광진구 능동로 50
메가엠지씨커피올림픽대교북단점,서울특별시 광진구 아차산로 481 (구의동) 1층,음식,비알코올 ,카페,127.094938345104,37.5409608651612,서울특별시 광진구 아차산로 481
길동우동 건대점,서울특별시 광진구 능동로13길 9 (화양동) 1층,음식,기타 간이,김밥/만두/분식,127.071155195682,37.5425692781081,서울특별시 광진구 능동로13 길 9
아빠찜 구의역점,서울특별시 광진구 자양로18길 96 (구의동),음식,한식,백반/한정식,127.088777901165,37.5385527290677,서울특별시 광진구 자양로18 길 96
백돈 구의점,서울특별시 광진구 아차산로41길 22 (자양동) 1층,음식,일식,일식 회/초밥,127.078661973051,37.5385463209305,서울특별시 광진구 아차산로41 길 22
나폴레옹과자점 건대점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,기타 간이,빵/도넛,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92
컴포즈커피건대스타시티몰점,서울특별시 광진구 능동로 110 (화양동) 2층,음식,비알코올 ,카페,127.071393981254,37.5406519161493,서울특별시 광진구 능동로 110
퍼부어 건대점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,중식,중국집,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92
정직유부 건대점,서울특별시 광진구 능동로 135-1 (화양동) 1층,음식,일식,기타 일식 음식점,127.071648472516,37.5429425883021,서울특별시 광진구 능동로 135 1
플러스82 건대점,서울특별시 광진구 동일로30길 16 (화양동) 1층,음식,비알코올 ,카페,127.068072424844,37.5475007688257,서울특별시 광진구 동일로30 길 16
더벤티 중곡점,서울특별시 광진구 용마산로 29 (중곡동) 1층,음식,비알코올 ,카페,127.087895536013,37.5561795020892,서울특별시 광진구 용마산로 29
비에이치씨 구의점,서울특별시 광진구 구의로 40 (구의동) 1층,음식,기타 간이,치킨,127.090033360763,37.5413917168552,서울특별시 광진구 구의로 40
신전떡볶이 중곡점,서울특별시 광진구 능동로 400 (중곡동),음식,기타 간이,김밥/만두/분식,127.084436881818,37.5650460928601,서울특별시 광진구 능동로 400
