상가업소번호,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소
MA0101202210A0037544,영자's곱창,,음식,한식,곱창 전골/구이,서울특별시 광진구 면목로 172
MA010120220805431191,맑은에스테틱,,수리·개인,욕탕·신체관리,마사지/안마,서울특별시 광진구 뚝섬로32길 33
MA010120220805433802,썬더치킨,,음식,기타 간이,치킨,서울특별시 광진구 군자로 127
MA010120220805433097,더봄,,수리·개인,이용·미용,네일숍,서울특별시 광진구 면목로 7
MA010120220805437728,딘두오,,소매,섬유·의복·신발 소매,가발 소매업,서울특별시 광진구 천호대로103길 8
MA010120220805436460,에이치와이플러스,,시설관리·임대,고용 알선,상용 인력 공급 및 인사관리 서비스업,서울특별시 광진구 아차산로 355
MA010120220805437249,제이엔,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 용마산로 29
MA010120220805439208,러슬,,음식,비알코올 ,카페,서울특별시 광진구 자양로37길 63
MA010120220805438797,늘푸른강산,,시설관리·임대,청소·방제,건축물 일반 청소업,서울특별시 광진구 동일로70길 27
MA010120220805447292,광진레츠,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 영화사로 15
MA010120220805450285,정코스메틱,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 아차산로36길 35
MA010120220805446937,에이스원영어학원,,교육,일반 교육,입시·교과학원,서울특별시 광진구 뚝섬로 541
MA010120220805447150,에이원부동산경매평생교육원,,교육,기타 교육,그 외 기타 교육기관,서울특별시 광진구 천호대로 562
MA010120220805449171,설레임,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 아차산로31길 30
MA010120220805442720,군자전자담배프라자,,소매,담배 소매,담배/전자담배 소매업,서울특별시 광진구 능동로40길 12
MA010120220805443577,워커힐설비,,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,서울특별시 광진구 아차산로 637
MA010120220805444813,롯데공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 구의로 7
MA010120220805459722,이삭고시원,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 능동로19길 36
MA010120220805456693,토림인글로벌,,과학·기술,기술 서비스,기타 엔지니어링 서비스업,서울특별시 광진구 뚝섬로 539
MA010120220805461704,론썸헤이드,,수리·개인,이용·미용,미용실,서울특별시 광진구 천호대로 573
MA010120220805458249,웰빙힐링센타,,수리·개인,욕탕·신체관리,마사지/안마,서울특별시 광진구 자양로5길 33
MA010120220805460337,파고라,,교육,기타 교육,기타 예술/스포츠 교육기관,서울특별시 광진구 용마산로1길 113
MA010120220805456493,실버스톤,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 광나루로56길 85
MA010120220805456459,에이비에이캥거루,,교육,기타 교육,그 외 기타 교육기관,서울특별시 광진구 아차산로30길 36
MA010120220805450999,오사이초밥,,음식,일식,일식 회/초밥,서울특별시 광진구 군자로 14
MA010120220805455945,인디고플레이스,,음식,비알코올 ,카페,서울특별시 광진구 능동로 154
MA010120220805451201,한국웃음놀이치료연구회,,교육,기타 교육,기타 기술/직업 훈련학원,서울특별시 광진구 능동로36길 166
MA010120220805455841,남수푸드,,음식,한식,횟집,서울특별시 광진구 광나루로37길 8
MA010120220805452475,건축사사무소그리드,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 천호대로124길 66
MA010120220805468010,태원건축인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 긴고랑로 22
MA010120220805469587,살롱드발레,,교육,기타 교육,기타 예술/스포츠 교육기관,서울특별시 광진구 광나루로52길 88
MA010120220805465399,닛코리,,음식,일식,일식 회/초밥,서울특별시 광진구 아차산로 200
MA010120220805460985,은하수광고기획,,과학·기술,광고,옥외/전시 광고 대행업,서울특별시 광진구 긴고랑로22길 4
MA010120220805466166,크레버스영재교육센터광진제1지점,,교육,일반 교육,입시·교과학원,서울특별시 광진구 광나루로 603
MA010120220805462840,드림부동산공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 아차산로 224
MA010120220805462502,큐라운지,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,서울특별시 광진구 아차산로78길 110
MA010120220805461592,요거트월드,,음식,기타 간이,아이스크림/빙수,서울특별시 광진구 자양번영로13길 3
MA010120220805466025,열린밥상,,음식,한식,백반/한정식,서울특별시 광진구 자양로 247
MA010120220805461993,다모아호프,,음식,주점,요리 주점,서울특별시 광진구 뚝섬로 476
MA010120220805461999,예일스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 군자로 69
MA010120220805482139,로프커피,,음식,비알코올 ,카페,서울특별시 광진구 동일로 304
MA010120220805481264,크린업24화양점,,수리·개인,세탁,세탁소,서울특별시 광진구 아차산로23길 67
MA010120220805481326,우림이엔지,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 강변역로4길 68
MA010120220805480096,크레송,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 92
MA010120220805482263,어반레지던스,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 자양로 164
MA010120220805476328,레스티오도서관점,,음식,비알코올 ,카페,서울특별시 광진구 능동로 120
MA010120220805470788,룩앤룩안경원스타시티점,,소매,안경·정밀기기 소매,안경렌즈 소매업,서울특별시 광진구 아차산로 262
MA010120220805471235,용정성일초두부,,음식,한식,백반/한정식,서울특별시 광진구 아차산로26길 42
MA010120220805470670,에스씨푸드,,음식,한식,백반/한정식,서울특별시 광진구 능동로13길 69
MA010120220805471123,팔자좀피자,,음식,기타 간이,피자,서울특별시 광진구 뚝섬로 509-1
MA010120220805474592,미각의발견,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 자양로50길 37
MA010120220805478434,블링안나,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 동일로46길 23-11
MA010120220805473045,디와겐,,수리·개인,자동차 수리·세차,자동차 세차장,서울특별시 광진구 자양번영로 72
MA010120220805470816,비바체,,음식,비알코올 ,카페,서울특별시 광진구 광나루로52길 11
MA010120220805474163,신사동,,음식,주점,요리 주점,서울특별시 광진구 답십리로 372
MA010120220805473734,산과바다,,음식,한식,횟집,서울특별시 광진구 자양로 322
MA010120220805474593,온도계,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 자양로43길 60
MA010120220805488886,파워부동산공인중개사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 뚝섬로 508
MA010120220805491154,에스헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 뚝섬로56길 41
MA010120220805491237,짱노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 동일로18길 51
MA010120220805490149,비쥬리아,,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,서울특별시 광진구 긴고랑로9길 22
MA010120220805482897,장수카페,,음식,비알코올 ,카페,서울특별시 광진구 군자로 140
MA010120220805486622,샤론프린트,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 동일로 388
MA010120220805485628,풍년상회,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 아차산로53길 53
MA010120220805483588,디테일비쉐어하우스,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 동일로46길 23-11
MA010120220805484023,온유안경,,소매,안경·정밀기기 소매,안경렌즈 소매업,서울특별시 광진구 능동로 373
MA010120220805500691,디딤온누리약국,,소매,의약·화장품 소매,약국,서울특별시 광진구 천호대로 653
MA010120220805502438,속옷짱,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 영화사로 4
MA010120220805499230,진씨태극권정진무관,,교육,기타 교육,태권도/무술학원,서울특별시 광진구 용마산로3길 99
MA010120220805501736,브라운파스타,,음식,서양식,파스타/스테이크,서울특별시 광진구 동일로 158
MA010120220805501699,맘스터치군자역점,,음식,기타 간이,버거,서울특별시 광진구 능동로 300
MA010120220805504467,헤어웨이구의,,수리·개인,이용·미용,미용실,서울특별시 광진구 아차산로 481
MA010120220805504306,상하세라믹,,소매,철물·건설자재 소매,건설/건축자재 소매업,서울특별시 광진구 자양로 241
MA010120220805494524,다원인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 긴고랑로2길 13
MA010120220805494212,에이민스튜디오,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 동일로18길 11
MA010120220805495649,와이피,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 동일로24길 18-1
MA010120220805497476,잘듣는정신건강의학과의원,,보건의료,의원,신경/정신과 의원,서울특별시 광진구 광나루로 369
