상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
영자's곱창,서울특별시 광진구 면목로 172 (중곡동) 1층,음식,한식,곱창 전골/구이,127.082832417071,37.5685026763955,서울특별시 광진구 면목로 172
맑은에스테틱,서울특별시 광진구 뚝섬로32길 33 (자양동) 1층,수리·개인,욕탕·신체관리,마사지/안마,127.066814204677,37.5340471437813,서울특별시 광진구 뚝섬로32길 33
썬더치킨,서울특별시 광진구 군자로 127 (군자동) 1층,음식,기타 간이,치킨,127.073597973058,37.5536623822352,서울특별시 광진구 군자로 127
더봄,서울특별시 광진구 면목로 7 (군자동) 1층,수리·개인,이용·미용,네일숍,127.075155396097,37.5549360616557,서울특별시 광진구 면목로 7
딘두오,서울특별시 광진구 천호대로103길 8 (중곡동),소매,섬유·의복·신발 소매,가발 소매업,127.075428926953,37.5593623573662,서울특별시 광진구 천호대로103길 8
에이치와이플러스,서울특별시 광진구 아차산로 355 (자양동),시설관리·임대,고용 알선,상용 인력 공급 및 인사관리 서비스업,127.082546387004,37.5373601422673,서울특별시 광진구 아차산로 355
제이엔,서울특별시 광진구 용마산로 29 (중곡동) 1층,소매,섬유·의복·신발 소매,기타 의류 소매업,127.087895536013,37.5561795020892,서울특별시 광진구 용마산로 29
러슬,서울특별시 광진구 자양로37길 63 (구의동) 3층,음식,비알코올 ,카페,127.085543420228,37.5486014905947,서울특별시 광진구 자양로37길 63
늘푸른강산,서울특별시 광진구 동일로70길 27 (중곡동),시설관리·임대,청소·방제,건축물 일반 청소업,127.0783886606,37.5644223622335,서울특별시 광진구 동일로70길 27
광진레츠,서울특별시 광진구 영화사로 15 (중곡동) 2층,과학·기술,전문 디자인,시각 디자인업,127.089311529733,37.5579384703687,서울특별시 광진구 영화사로 15
정코스메틱,서울특별시 광진구 아차산로36길 35 (자양동),소매,의약·화장품 소매,화장품 소매업,127.074086174836,37.5370688474876,서울특별시 광진구 아차산로36길 35
에이스원영어학원,서울특별시 광진구 뚝섬로 541 (자양동) 4층,교육,일반 교육,입시·교과학원,127.070345197386,37.5348949513078,서울특별시 광진구 뚝섬로 541
에이원부동산경매평생교육원,서울특별시 광진구 천호대로 562 (능동) 4층,교육,기타 교육,그 외 기타 교육기관,127.080342647343,37.5564813331518,서울특별시 광진구 천호대로 562
설레임,서울특별시 광진구 아차산로31길 30 (화양동) 1층,음식,한식,돼지고기 구이/찜,127.069937212035,37.5422353126568,서울특별시 광진구 아차산로31길 30
군자전자담배프라자,서울특별시 광진구 능동로40길 12 (중곡동) 1층,소매,담배 소매,담배/전자담배 소매업,127.080742341899,37.5580342516223,서울특별시 광진구 능동로40길 12
워커힐설비,서울특별시 광진구 아차산로 637 (광장동) 2층,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,127.107590529973,37.5513111458743,서울특별시 광진구 아차산로 637
롯데공인중개사사무소,서울특별시 광진구 구의로 7 (구의동) 1층,부동산,부동산 서비스,부동산 중개/대리업,127.089048898399,37.5385998725552,서울특별시 광진구 구의로 7
이삭고시원,서울특별시 광진구 능동로19길 36 (화양동),숙박,기타 숙박,기숙사/고시원,127.071818920462,37.5474491838954,서울특별시 광진구 능동로19길 36
토림인글로벌,서울특별시 광진구 뚝섬로 539 (자양동),과학·기술,기술 서비스,기타 엔지니어링 서비스업,127.070060786755,37.5350188593566,서울특별시 광진구 뚝섬로 539
론썸헤이드,서울특별시 광진구 천호대로 573 (중곡동) 2층,수리·개인,이용·미용,미용실,127.081813092887,37.5565558510547,서울특별시 광진구 천호대로 573
웰빙힐링센타,서울특별시 광진구 자양로5길 33 (자양동) 2층,수리·개인,욕탕·신체관리,마사지/안마,127.084118864686,37.5309117942692,서울특별시 광진구 자양로5길 33
파고라,서울특별시 광진구 용마산로1길 113 (중곡동),교육,기타 교육,기타 예술/스포츠 교육기관,127.082478812527,37.5567232153159,서울특별시 광진구 용마산로1길 113
