지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2023-05-23,매우우수,(유)아웃백스테이크하우스코리아 건대스타시티점,박*종,서울특별시 광진구 능동로 92(롯데백화점 스타시티몰 2층 자양동),일반음식점,자양동 
식품의약품안전처,2024-08-09,매우우수,(주)핫시즈너동대문엽기떡볶이,금*일,서울특별시 광진구 동일로22길 111(화양동),일반음식점,화양동 
식품의약품안전처,2024-04-15,매우우수,60계 서울군자점,안*진,서울특별시 광진구 면목로 1(1층 군자동),일반음식점,군자동 
식품의약품안전처,2024-05-29,매우우수,60계구의광장점,이*훈,서울특별시 광진구 광나루로56길 34(구의현대2단지 지층 14호 구의동),일반음식점,구의동 
식품의약품안전처,2023-08-20,매우우수,BHC중곡점,조*미,서울특별시 광진구 능동로 327(중곡동),일반음식점,중곡동 
식품의약품안전처,2024-07-01,매우우수,감탄떡볶이롯데마트강변점,김*주,서울특별시 광진구 광나루로56길 85(테크노-마트21 지하2층 구의동),일반음식점,구의동
식품의약품안전처,2023-06-15,매우우수,고디바 롯데건대점,오*경 외 1명,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동 
식품의약품안전처,2024-05-14,매우우수,고술행,박*일,서울특별시 광진구 긴고랑로22길 4(1층 중곡동),일반음식점,중곡동
식품의약품안전처,2023-07-18,우수,교촌치킨 광장점,맹*권 외 1명,서울특별시 광진구 광나루로 607(1층 광장동),일반음식점,광장동 
식품의약품안전처,2023-09-18,매우우수,교촌치킨(중곡2호),장*혁,"서울특별시 광진구 용마산로 109(1층 101, 102호 중곡동)",일반음식점,중곡동 
식품의약품안전처,2023-06-22,우수,군자사랑파리바게뜨,신*자,서울특별시 광진구 천호대로 573(중곡동),제과점영업,중곡동 
식품의약품안전처,2023-02-24,매우우수,굽네치킨중곡4동,박*선,서울특별시 광진구 영화사로 47(박빌딩 1층 중곡동),일반음식점,중곡동 
식품의약품안전처,2023-06-15,매우우수,그래인스쿠키,김*중,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),제과점영업,자양동 
식품의약품안전처,2023-11-20,매우우수,길동우동 건대점,백*호,서울특별시 광진구 능동로13길 9(1층 화양동),일반음식점,화양동 
식품의약품안전처,2024-04-24,우수,나폴레옹과자점 건대점,강*원,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),제과점영업,자양동
식품의약품안전처,2023-03-28,매우우수,더벤티 서울군자점,최*승,서울특별시 광진구 군자로 141(1층 군자동),휴게음식점,군자동 
식품의약품안전처,2025-01-24,매우우수,더벤티 아차산점,천*태,서울특별시 광진구 천호대로129길 16(1층 구의동),휴게음식점,구의동
식품의약품안전처,2024-06-19,매우우수,더벤티 중곡점,구*영,서울특별시 광진구 용마산로 29(1층 좌측 102호 중곡동),휴게음식점,중곡동
식품의약품안전처,2023-02-24,매우우수,더벤티구의사거리점,심*라,서울특별시 광진구 자양로 205(구의동),일반음식점,구의동 
식품의약품안전처,2024-05-08,우수,던킨 군자역점,박*환,서울특별시 광진구 능동로 281-1(1층 군자동),휴게음식점,군자동
