번호,업종명,업소명,주요품목,가격,업소 전화번호,주소,주차여부,포장여부,배달여부,예약여부,남여화장실 구분여부,단체이용 가능여부,무선인터넷 제공여부,반려동물 동반여부,유아시설여부,주소_추출
1,한식,59년왕십리성수점,인삼왕갈비(300g),15000,02-462-6775,서울특별시 광진구 동일로4길 15 (자양동) 1층,,,,O,,O,,,,서울특별시 광진구 동일로4길 15
2,미용업,가연미용실,커트,12000,,서울특별시 광진구 아차산로30길 39 (자양동) 1층,,,,,,,,,,서울특별시 광진구 아차산로30길 39
3,미용업,갤러리헤어,"미용료
(파마)",30000,02-465-3861,서울특별시 광진구 동일로72길 46 (중곡동),,,,,,,,,,서울특별시 광진구 동일로72길 46
4,양식,겨울나그네,돈까스,5500,02-498-3650,서울특별시 광진구 능동로 147-1 (화양동),,,,,,,,,,서울특별시 광진구 능동로 147
5,기타요식업,고은별,커피,3000,02-453-4933,서울특별시 광진구 자양로 177 ,,,,,,,,,,서울특별시 광진구 자양로 177
6,한식,곰곰탕,돼지곰탕,8500,0507-1487-1216,서울특별시 광진구 용마산로 128 (중곡동) 1층,O,O,,O,,,O,,,서울특별시 광진구 용마산로 128
7,일식,구름초밥,초밥(10p),12000,02-621-0678,서울특별시 광진구 뚝섬로 678 1층 (자양동),,,,,,,,,,서울특별시 광진구 뚝섬로 678
8,세탁업,그린세탁,의복수선료,4000,02-456-8301,서울특별시 광진구  뚝섬로54길 57 (자양동),,,,,,,,,,서울특별시 광진구  뚝섬로54길 57
9,한식,금강숯불생고기,삼겹살,15000,02-343-9599,서울특별시 광진구  용마산로7길 9 (중곡동),,,,,,,,,,서울특별시 광진구  용마산로7길 9
10,한식,금쪽삼겹,삼겹살,9900,02-6958-5792,서울특별시 광진구 능동로16길 57 (화양동) 1층,,O,O,,,,,,,서울특별시 광진구 능동로16길 57
11,미용업,김미라헤어,커트,11000,,서울특별시 광진구 동일로24길 18 (화양동) 1층,,,,,,,,,,서울특별시 광진구 동일로24길 18
12,한식,능라도분식,김밥,2500,02-455-0322,서울특별시 광진구 천호대로110길 50 (능동),,,,,,,,,,서울특별시 광진구 천호대로110길 50
13,한식,다비다식당,삼겹살,14000,02-466-1074,서울특별시 광진구 동일로 444 ,,,,,,,,,,서울특별시 광진구 동일로 444
14,기타요식업,달디빈,커피,2500,,서울특별시 광진구 능동로39길 11 1층,,,,,,,,,,서울특별시 광진구 능동로39길 11
15,세탁업,동현세탁,양복세탁료,7000,02-458-6268,서울특별시 광진구 뚝섬로52라길 65 (자양동),,,,,,,,,,서울특별시 광진구 뚝섬로52라길 65
16,기타요식업,래빗컴퍼니(샵 고은별),커피,3000,0507-1366-8786,서울특별시 광진구 자양로26길 19 (구의동) 1층,,O,O,O,,O,O,,,서울특별시 광진구 자양로26길 19
17,기타비요식업,리오스포토스튜디오,반명함판(칼라),22000,02-455-6727,서울특별시 광진구 능동로40길 3 (중곡동) 1층,,,,O,,,,,,서울특별시 광진구 능동로40길 3
18,기타요식업,리플커피 건국대점,아메리카노,1500,02-455-5600,서울특별시 광진구 광나루로24길 20 (화양동) 1층,,O,,,,O,O,,,서울특별시 광진구 광나루로24길 20
19,한식,마니아우동,냉면,7000,02-465-2587,서울특별시 광진구 긴고랑로 25 (중곡동),,,,,,,,,,서울특별시 광진구 긴고랑로 25
