상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
아웃백스테이크하우스건대스타시티점,서울특별시 광진구 능동로 92 (자양동) 2층,음식,서양식,경양식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2023-05-23,매우우수
엽기떡볶이건대2 호점,서울특별시 광진구 동일로22길 111 (화양동),음식,기타 간이,김밥/만두/분식,127.070238097386,37.5407869890843,서울특별시 광진구 동일로22 길 111,2024-08-09,매우우수
60 계서울군자점,서울특별시 광진구 면목로 1 (군자동) 1층,음식,기타 간이,치킨,127.074866170886,37.5545283233401,서울특별시 광진구 면목로 1,2024-04-15,매우우수
60 계구의,서울특별시 광진구 광나루로56길 34 (구의동) B1층,음식,기타 간이,치킨,127.096613228693,37.5381353714762,서울특별시 광진구 광나루로56 길 34,2024-05-29,매우우수
고술행,서울특별시 광진구 긴고랑로22길 4 (중곡동) 1층,음식,한식,백반/한정식,127.084216635443,37.560845494921,서울특별시 광진구 긴고랑로22 길 4,2024-05-14,매우우수
교촌치킨,서울특별시 광진구 광나루로 607 (광장동) 1층,음식,기타 간이,치킨,127.095730921216,37.5418589798865,서울특별시 광진구 광나루로 607,2023-07-18,우수
교촌치킨중곡2 호,서울특별시 광진구 용마산로 109 (중곡동) 1층,음식,기타 간이,치킨,127.08666497585,37.5633423468289,서울특별시 광진구 용마산로 109,2023-09-18,매우우수
군자사랑파리바게트,서울특별시 광진구 천호대로 573 (중곡동),음식,기타 간이,빵/도넛,127.081813092887,37.5565558510547,서울특별시 광진구 천호대로 573,2023-06-22,우수
굽네치킨중곡4 동,서울특별시 광진구 영화사로 47 (중곡동) 1층,음식,기타 간이,치킨,127.091937802272,37.5560394604232,서울특별시 광진구 영화사로 47,2023-02-24,매우우수
길동우동 건대점,서울특별시 광진구 능동로13길 9 (화양동) 1층,음식,기타 간이,김밥/만두/분식,127.071155195682,37.5425692781081,서울특별시 광진구 능동로13 길 9,2023-11-20,매우우수
나폴레옹과자점 건대점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,기타 간이,빵/도넛,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-04-24,우수
더벤티 중곡점,서울특별시 광진구 용마산로 29 (중곡동) 1층,음식,비알코올 ,카페,127.087895536013,37.5561795020892,서울특별시 광진구 용마산로 29,2024-06-19,매우우수
더벤티구의,서울특별시 광진구 자양로 205 (구의동),음식,비알코올 ,카페,127.085747491471,37.5457917893931,서울특별시 광진구 자양로 205,2023-02-24,매우우수
던킨군자역점,서울특별시 광진구 능동로 281-1 (군자동) 1층,음식,기타 간이,피자,127.078072029167,37.5552111656424,서울특별시 광진구 능동로 281 1,2024-05-08,우수
비알던킨도너츠건대입구역점,서울특별시 광진구 능동로 110 (화양동) 1층,음식,기타 간이,빵/도넛,127.071393981254,37.5406519161493,서울특별시 광진구 능동로 110,2024-05-16,매우우수
던킨도너츠,서울특별시 광진구 아차산로 502 (광장동),음식,기타 간이,빵/도넛,127.097219475403,37.5413477586036,서울특별시 광진구 아차산로 502,2023-10-28,매우우수
던킨도너츠테크노마트,서울특별시 광진구 광나루로56길 85 (구의동) 1층,음식,기타 간이,빵/도넛,127.095680669092,37.53571340911,서울특별시 광진구 광나루로56 길 85,2023-09-10,매우우수
던킨,서울특별시 광진구 긴고랑로 43 (중곡동),음식,기타 간이,빵/도넛,127.081158033407,37.562894144032,서울특별시 광진구 긴고랑로 43,2024-12-02,매우우수
도미노피자군자점,서울특별시 광진구 능동로 253 (군자동) 1층,음식,기타 간이,피자,127.076766649082,37.5527681302093,서울특별시 광진구 능동로 253,2023-02-24,매우우수
도미노피자구의,서울특별시 광진구 광나루로 562 (구의동),음식,기타 간이,피자,127.091868177338,37.5440549370104,서울특별시 광진구 광나루로 562,2023-02-24,매우우수
도미노피자,서울특별시 광진구 아차산로 312 (자양동),음식,기타 간이,피자,127.077336427118,37.5377610662174,서울특별시 광진구 아차산로 312,2023-03-10,매우우수
도미노피자,서울특별시 광진구 용마산로 39 (중곡동) 1층,음식,기타 간이,피자,127.087634697324,37.5571506212705,서울특별시 광진구 용마산로 39,2023-06-28,매우우수
도제,서울특별시 광진구 능동로 92 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2025-01-14,매우우수
